name,category,meal_type,food_type,food_group,difficulty,cook_time_mins,calories,protein,carbohydrate,fat,portion_min,portion_typical,portion_max,role,cuisine,description,tags,source
Set Dosa,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Set_Dosa
Dahi Puri,recipe,Snack,veg,chaat,Easy,19,266,7.6,36.1,9.5,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian chaat prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Dahi_Puri
Rava Idli,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Rava_Idli
Neer Dosa,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Neer_Dosa
Wheat Dosa,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Wheat_Dosa
Tomato Uttapam,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Tomato_Uttapam
Onion Uttapam,recipe,Breakfast,veg,south_indian,Easy,19,171,3.8,30.4,3.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Onion_Uttapam
Rava Kesari,recipe,Breakfast,veg,grain_breakfast,Easy,19,228,5.7,36.1,6.6,0.5,1.0,1.5,side,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Rava_Kesari
Meen Curry,recipe,Lunch; Dinner,non-veg,fish,Medium,30,242,22.0,6.6,13.2,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian fish prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Meen_Curry
Thalipeeth,recipe,Breakfast,veg,grain_breakfast,Medium,20,240,6.0,38.0,7.0,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Thalipeeth
Kadai Chicken,recipe,Lunch; Dinner,non-veg,chicken,Medium,35,286,24.2,8.8,15.4,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian chicken prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Kadai_Chicken
Peas Pulao,recipe,Lunch; Dinner,veg,rice,Easy,23,209,3.8,38.0,3.8,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Peas_Pulao
Shami Kebab,recipe,Snack,non-veg,kabab,Medium,40,308,19.8,11.0,19.8,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian kabab prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Shami_Kebab
Ghee Rice,recipe,Lunch; Dinner,veg,rice,Easy,23,209,3.8,38.0,3.8,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Ghee_Rice
Avalakki,recipe,Breakfast,vegan,grain_breakfast,Easy,19,217,5.4,34.3,6.3,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Avalakki
Keema Matar,recipe,Lunch; Dinner,non-veg,kabab,Medium,40,308,19.8,11.0,19.8,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian kabab prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Keema_Matar
Mysore Bonda,recipe,Breakfast,veg,south_indian,Medium,20,180,4.0,32.0,4.0,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Mysore_Bonda
Moong Dal Khichdi,recipe,Breakfast,vegan,grain_breakfast,Easy,19,217,5.4,34.3,6.3,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Moong_Dal_Khichdi
Methi Rice,recipe,Lunch; Dinner,veg,rice,Easy,23,209,3.8,38.0,3.8,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Methi_Rice
Fish Moilee,recipe,Lunch; Dinner,non-veg,fish,Medium,30,242,22.0,6.6,13.2,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian fish prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Fish_Moilee
Ragi Dosa,recipe,Breakfast,vegan,south_indian,Easy,19,162,3.6,28.9,3.6,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Ragi_Dosa
Chicken Korma,recipe,Lunch; Dinner,non-veg,chicken,Medium,35,286,24.2,8.8,15.4,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian chicken prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Chicken_Korma
Mint Pulao,recipe,Lunch; Dinner,veg,rice,Easy,23,209,3.8,38.0,3.8,0.5,1.0,1.5,anchor_starch,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",energy rich;carb conscious;comfort food;sustained energy;hearty,https://en.wikipedia.org/wiki/Mint_Pulao
Coconut Chutney,recipe,Lunch; Dinner,vegan,veg_raw,Easy,14,135,2.7,19.9,5.4,0.5,1.0,1.5,side,indian,"A traditional Indian veg_raw prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Coconut_Chutney
Prawn Malai Curry,recipe,Lunch; Dinner,non-veg,fish,Medium,30,242,22.0,6.6,13.2,0.5,1.0,1.5,anchor_protein,indian,"A traditional Indian fish prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",high protein;muscle friendly;satiating;lean;nutrient dense,https://en.wikipedia.org/wiki/Prawn_Malai_Curry
Misal Pav,recipe,Snack,veg,chaat,Medium,20,280,8.0,38.0,10.0,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian chaat prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Misal_Pav
Pudina Chutney,recipe,Lunch; Dinner,vegan,veg_raw,Easy,14,135,2.7,19.9,5.4,0.5,1.0,1.5,side,indian,"A traditional Indian veg_raw prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Pudina_Chutney
Aloo Posto,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Aloo_Posto
Puttu,recipe,Breakfast,vegan,south_indian,Easy,19,162,3.6,28.9,3.6,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian south_indian prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Puttu
Khaman Dhokla,recipe,Breakfast; Snack,veg,grain_breakfast,Medium,20,240,6.0,38.0,7.0,0.5,1.0,1.5,side,indian,"A traditional Indian grain_breakfast prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",accompaniment;light bite;flavour enhancer;complementary;quick,https://en.wikipedia.org/wiki/Khaman_Dhokla
Hydrabadi Biryani,recipe,Lunch; Dinner,non-veg,rice,Hard,27,266,4.8,48.4,4.8,0.5,1.0,1.5,complete_meal,indian,"A traditional Indian rice prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",balanced meal;single serve;nutritious;wholesome;filling,https://en.wikipedia.org/wiki/Hydrabadi_Biryani
Aloo Matar,recipe,Lunch; Dinner,veg,veg_curry,Easy,23,171,4.8,17.1,9.5,0.5,1.0,1.5,anchor_veg,indian,"A traditional Indian veg_curry prepared with aromatic spices and fresh ingredients. The dish offers a balanced flavour profile with warming notes of cumin, coriander and turmeric.",fibre rich;vegetable forward;light;digestible;vitamin rich,https://en.wikipedia.org/wiki/Aloo_Matar
