name,category,meal_type,food_type,food_group,difficulty,cook_time_mins,calories,protein,carbohydrate,fat,portion_min,portion_typical,portion_max,role,cuisine,description,tags,source
Poha,recipe,Breakfast,vegan,grain_breakfast,Easy,15,350,8.0,58.0,9.0,0.5,1.0,1.5,side,unknown,,,
Upma,recipe,Breakfast,vegan,grain_breakfast,Easy,20,320,9.0,52.0,8.0,0.5,1.0,1.5,side,unknown,,,
Besan Chilla,recipe,Breakfast,vegan,grain_breakfast,Easy,20,280,15.0,28.0,10.0,0.5,1.0,1.5,side,unknown,,,
Masala Omelette,recipe,Breakfast,egg,egg,Easy,10,230,15.0,6.0,16.0,0.5,1.0,1.5,side,unknown,,,
Oats Porridge,recipe,Breakfast,dairy,grain_breakfast,Easy,10,280,12.0,40.0,7.0,0.5,1.0,1.5,side,unknown,,,
Moong Dal Chilla,recipe,Breakfast,vegan,grain_breakfast,Medium,25,250,14.0,32.0,7.0,0.5,1.0,1.5,side,unknown,,,
Aloo Paratha,recipe,Breakfast; Lunch,veg,roti,Medium,30,420,9.0,62.0,14.0,0.5,1.0,1.5,side,unknown,,,
Banana Oat Pancakes,recipe,Breakfast,dairy,grain_breakfast,Easy,20,290,9.0,48.0,7.0,0.5,1.0,1.5,side,unknown,,,
Roasted Makhana,recipe,Snack,veg,chaat,Easy,15,150,4.0,24.0,4.0,0.5,1.0,1.5,side,unknown,,,
Spiced Roasted Chana,recipe,Snack,vegan,chaat,Easy,10,190,9.0,30.0,4.0,0.5,1.0,1.5,side,unknown,,,
Sprouts Chaat,recipe,Snack; Lunch,vegan,chaat,Easy,10,185,10.0,28.0,5.0,0.5,1.0,1.5,side,unknown,,,
Paneer Tikka,recipe,Snack; Dinner,veg,paneer,Medium,30,320,22.0,8.0,22.0,0.5,1.0,1.5,side,unknown,,,
Boiled Eggs with Seasoning,recipe,Breakfast; Snack,egg,egg,Easy,15,155,13.0,1.0,11.0,0.5,1.0,1.5,side,unknown,,,
Greek Yogurt Bowl,recipe,Breakfast; Snack,dairy,dairy,Easy,5,180,14.0,20.0,5.0,0.5,1.0,1.5,side,unknown,,,
Peanut Butter Banana Toast,recipe,Breakfast; Snack,vegan,toast,Easy,5,310,11.0,38.0,12.0,0.5,1.0,1.5,side,unknown,,,
Egg Fried Rice,recipe,Lunch; Dinner,egg,rice,Easy,20,430,17.0,60.0,14.0,0.5,1.0,1.5,side,unknown,,,
Grilled Chicken Salad,recipe,Lunch; Dinner,non-veg,chicken,Easy,25,280,30.0,14.0,10.0,0.5,1.0,1.5,side,unknown,,,
Pasta Primavera,recipe,Lunch; Dinner,vegan,pasta,Easy,25,390,12.0,62.0,10.0,0.5,1.0,1.5,side,unknown,,,
Grilled Chicken with Vegetables,recipe,Lunch; Dinner,non-veg,chicken,Easy,30,310,32.0,16.0,12.0,0.5,1.0,1.5,side,unknown,,,
Vegetable Pulao,recipe,Lunch; Dinner,veg,rice,Medium,30,400,8.0,70.0,8.0,0.5,1.0,1.5,side,unknown,,,
Steamed Chicken,recipe,Lunch; Dinner,non-veg,chicken,Easy,30,260,50.0,2.0,6.0,0.5,1.0,1.5,side,unknown,,,
Masoor Dal Kababs,recipe,Snack; Lunch,vegan,kabab,Medium,30,355,17.0,52.0,8.0,0.5,1.0,1.5,side,unknown,,,
Rohu Fish Curry,recipe,Lunch; Dinner,non-veg,fish,Medium,35,290,25.0,10.0,16.0,0.5,1.0,1.5,side,unknown,,,
Grilled Rohu Fish,recipe,Lunch; Dinner,non-veg,fish,Easy,25,250,35.0,2.0,11.0,0.5,1.0,1.5,side,unknown,,,
Vegetable Salad Sandwich,recipe,Breakfast; Lunch; Snack,vegan,toast,Easy,10,185,7.0,34.0,2.0,0.5,1.0,1.5,side,unknown,,,
Grilled Paneer,recipe,Snack; Dinner,veg,paneer,Medium,25,555,36.0,4.0,44.0,0.5,1.0,1.5,side,unknown,,,
Avocado Toast,recipe,Breakfast; Snack,vegan,toast,Easy,5,205,4.0,20.0,12.0,0.5,1.0,1.5,side,unknown,,,
Laiyya Channa,recipe,Breakfast; Snack,vegan,chaat,Easy,5,295,10.0,50.0,5.0,0.5,1.0,1.5,side,unknown,,,
