name,serving_note,ingredients,steps
Set Dosa,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
Dahi Puri,1 serving (~200g),Potato 80g|Chickpeas 40g|Yoghurt 60g|Chutney 20g|Oil 10ml|Salt to taste,Boil and cube potato|Mix with chickpeas and spices|Arrange on plate; top with yoghurt and chutney|Garnish with sev and coriander; serve
Rava Idli,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
Neer Dosa,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
Wheat Dosa,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
Tomato Uttapam,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
Onion Uttapam,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
Rava Kesari,1 serving (~200g),Semolina 80g|Yoghurt 40g|Oil 10ml|Mustard seeds 2g|Salt to taste,Roast semolina until fragrant; cool|Mix with yoghurt and water; rest 30 min|Add tempering and salt|Pour into greased moulds; steam 10 min|Demould; serve hot
Meen Curry,1 serving (~200g),Fish fillet 120g|Onion 30g|Tomato 20g|Oil 10ml|Turmeric powder 1g|Salt to taste,Clean and cut fish; marinate with turmeric and salt|Heat oil; fry fish 3 min per side until golden|Add curry gravy if desired; simmer 5 min|Serve with rice or roti
Thalipeeth,1 serving (~200g),Semolina 80g|Yoghurt 40g|Oil 10ml|Mustard seeds 2g|Salt to taste,Roast semolina until fragrant; cool|Mix with yoghurt and water; rest 30 min|Add tempering and salt|Pour into greased moulds; steam 10 min|Demould; serve hot
Kadai Chicken,1 serving (~200g),Chicken breast 120g|Onion 40g|Tomato 30g|Oil 10ml|Ginger 5g|Salt to taste,"Marinate chicken in spices for 15 min|Heat oil; sear chicken 3 min per side|Add onion, tomato gravy; cook 20 min|Garnish; serve hot"
Peas Pulao,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Shami Kebab,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Ghee Rice,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Avalakki,1 serving (~200g),Semolina 80g|Yoghurt 40g|Oil 10ml|Mustard seeds 2g|Salt to taste,Roast semolina until fragrant; cool|Mix with yoghurt and water; rest 30 min|Add tempering and salt|Pour into greased moulds; steam 10 min|Demould; serve hot
Keema Matar,1 serving (~200g),Meat mince 120g|Onion 30g|Garlic 5g|Oil 10ml|Garam masala 2g|Salt to taste,Mix minced meat with spices and onion|Shape into patties or cylinders|Grill or pan-fry 4 min per side|Serve with chutney and onion
Mysore Bonda,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
Moong Dal Khichdi,1 serving (~200g),Semolina 80g|Yoghurt 40g|Oil 10ml|Mustard seeds 2g|Salt to taste,Roast semolina until fragrant; cool|Mix with yoghurt and water; rest 30 min|Add tempering and salt|Pour into greased moulds; steam 10 min|Demould; serve hot
Methi Rice,1 bowl (~200g),Rice basmati 80g|Oil 10ml|Salt to taste|Water 200ml,Wash rice; soak 15 min|Boil water; add rice and salt|Cook covered 12 min until tender|Fluff with fork; serve
Fish Moilee,1 serving (~200g),Fish fillet 120g|Onion 30g|Tomato 20g|Oil 10ml|Turmeric powder 1g|Salt to taste,Clean and cut fish; marinate with turmeric and salt|Heat oil; fry fish 3 min per side until golden|Add curry gravy if desired; simmer 5 min|Serve with rice or roti
Ragi Dosa,2 pieces (~150g),Rice 80g|Urad dal 20g|Fenugreek seeds 2g|Oil 10ml|Salt to taste,Soak rice and dal separately for 4 hours|Grind to smooth batter; ferment overnight|Add salt; heat tawa; pour batter; spread into dosa|Cook 2 min; flip; cook 1 min; serve with chutney
